Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Storage Capacity,0.0,kWh
Total water production,18250000.00000112,m3
Total fossil fuel usage,32505576.49705446,kWh
Percentage of fossil fuel consumption,47.10847160651314,%
Curtailed solar electric energy,7.486674150532394,GWh
Percentage of curtailed energy,17.021880723730064,%

Hour,Water production (m3),Storage status (kWh),Fossil fuel usage (kWh)
0,2083.3333333333335,0.0,0
1,2083.3333333333335,0.0,0
2,2083.3333333333335,0.0,0
3,2083.3333333333335,0.0,0
4,2083.3333333333335,0.0,0
5,2083.3333333333335,0.0,0
6,2083.3333333333335,0.0,0
7,2083.3333333333335,0.0,0
8,2083.3333333333335,0.0,0
9,2083.3333333333335,0.0,0
10,2083.3333333333335,0.0,0
11,2083.3333333333335,0.0,0
12,2083.3333333333335,0.0,0
13,2083.3333333333335,0.0,0
14,2083.3333333333335,0,689.6858572953879
15,2083.3333333333335,0.0,0
16,2083.3333333333335,0.0,0
17,2083.3333333333335,0,881.2059271819526
18,2083.3333333333335,0.0,0
19,2083.3333333333335,0.0,0
20,2083.3333333333335,0.0,0
21,2083.3333333333335,0.0,0
22,2083.3333333333335,0.0,0
23,2083.3333333333335,0.0,0
24,2083.3333333333335,0.0,0
25,2083.3333333333335,0.0,0
26,2083.3333333333335,0.0,0
27,2083.3333333333335,0.0,0
28,2083.3333333333335,0.0,0
29,2083.3333333333335,0,957.6435172359743
30,2083.3333333333335,0,3167.8198102039833
31,2083.3333333333335,0,2505.262973857827
32,2083.3333333333335,0,3486.8767484412665
33,2083.3333333333335,0,965.1291358176532
34,2083.3333333333335,0,3073.3112954644603
35,2083.3333333333335,0.0,0
36,2083.3333333333335,0.0,0
37,2083.3333333333335,0.0,0
38,2083.3333333333335,0.0,0
39,2083.3333333333335,0.0,0
40,2083.3333333333335,0.0,0
41,2083.3333333333335,0.0,0
42,2083.3333333333335,0.0,0
43,2083.3333333333335,0,949.4965801629405
44,2083.3333333333335,0,616.7137384582302
45,2083.3333333333335,0.0,0
46,2083.3333333333335,0.0,0
47,2083.3333333333335,0,186.47923172614082
48,2083.333333333333,0,4292.108631668569
49,2083.3333333333335,0,5846.101105246623
50,2083.333333333333,0,5706.869165690512
51,2083.3333333333335,0,5335.453887640991
52,2083.3333333333335,0,3887.6017678558546
53,2083.333333333334,0,6038.147271076445
54,2083.333333333334,0,6186.829464861221
55,2083.3333333333335,0,6109.504512571399
56,2083.3333333333335,0,6172.777951088907
57,2083.333333333334,0,6946.5424039978625
58,2083.3333333333335,0,6986.375524924449
59,2083.3333333333335,0,6374.406508460176
60,2083.333333333333,0,6584.212740080016
61,2083.333333333334,0,5299.44772586038
62,2083.3333333333335,0,6325.685467634992
63,2083.3333333333335,0,7581.804012676265
64,2083.3333333333335,0,7839.68510831368
65,2083.3333333333335,0,7819.038754547071
66,2083.3333333333335,0,7686.224778085148
67,2083.3333333333335,0,7825.551040800871
68,2083.3333333333335,0,7849.585723393508
69,2083.3333333333335,0,7831.601781476106
70,2083.3333333333335,0,7213.831840913972
71,2083.3333333333335,0,7265.220448113643
72,2083.3333333333335,0,6658.961978142796
73,2083.3333333333335,0,6246.10334012085
74,2083.333333333333,0,5039.517164072464
75,2083.3333333333335,0,1264.5698303536055
76,2083.3333333333335,0.0,0
77,2083.3333333333335,0.0,0
78,2083.3333333333335,0.0,0
79,2083.3333333333335,0.0,0
80,2083.3333333333335,0.0,0
81,2083.3333333333335,0.0,0
82,2083.3333333333335,0.0,0
83,2083.3333333333335,0.0,0
84,2083.3333333333335,0.0,0
85,2083.3333333333335,0.0,0
86,2083.3333333333335,0.0,0
87,2083.3333333333335,0.0,0
88,2083.3333333333335,0.0,0
89,2083.3333333333335,0.0,0
90,2083.3333333333335,0.0,0
91,2083.3333333333335,0.0,0
92,2083.3333333333335,0.0,0
93,2083.3333333333335,0.0,0
94,2083.3333333333335,0.0,0
95,2083.3333333333335,0.0,0
96,2083.3333333333335,0.0,0
97,2083.3333333333335,0.0,0
98,2083.3333333333335,0.0,0
99,2083.3333333333335,0.0,0
100,2083.3333333333335,0.0,0
101,2083.3333333333335,0.0,0
102,2083.3333333333335,0.0,0
103,2083.3333333333335,0.0,0
104,2083.3333333333335,0.0,0
105,2083.3333333333335,0.0,0
106,2083.3333333333335,0.0,0
107,2083.3333333333335,0.0,0
108,2083.3333333333335,0.0,0
109,2083.3333333333335,0,1481.2574689056955
110,2083.3333333333335,0,4300.642551276596
111,2083.333333333333,0,4149.931550281444
112,2083.3333333333335,0,4901.592496846056
113,2083.3333333333335,0,5224.398329036772
114,2083.3333333333335,0,5042.699677935498
115,2083.3333333333335,0,3851.9840388552375
116,2083.3333333333335,0.0,0
117,2083.3333333333335,0,591.609091216651
118,2083.333333333334,0,5670.671098239585
119,2083.3333333333335,0,7876.889489254026
120,2083.3333333333335,0,7816.313888482579
121,2083.3333333333335,0,7230.2533609184975
122,2083.333333333333,0,6800.925161535464
123,2083.3333333333335,0,7818.563142783633
124,2083.3333333333335,0,7297.525607534847
125,2083.333333333334,0,7036.474038947601
126,2083.3333333333335,0,7208.532573167904
127,2083.3333333333335,0,7250.247842090713
128,2083.333333333333,0,5103.658286275209
129,2083.3333333333335,0,3089.558208957458
130,2083.3333333333335,0.0,0
131,2083.3333333333335,0,340.37189615695115
132,2083.3333333333335,0,1479.578021769602
