Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
0,2787.2503407808317,92.91
1,2295.940716308793,76.53
2,2407.1236188351504,80.24
3,2590.381754663904,86.35
4,3007.520595928821,100.25
5,3009.2643459526735,100.31
6,3015.5737710019594,100.52
7,3021.159154121129,100.71
8,3030.1993925590896,101.01
9,3040.8768398593656,101.36
10,2929.0188355093064,97.63
11,3057.051201539794,101.9
12,1847.9730167931075,61.6
13,1851.8117511018847,61.73
14,1757.3451470712735,58.58
15,2062.6695729576945,68.76
16,2477.3802254693105,82.58
17,1748.9208905180183,58.3
18,2928.781603270136,97.63
19,3022.139425747401,100.74
20,2865.4790028143566,95.52
21,2885.610702049577,96.19
22,2878.5525113475132,95.95
23,2883.8700291534155,96.13
24,2801.4477919741266,93.38
25,2486.050621945989,82.87
26,2492.0573146372644,83.07
27,2488.8002624748124,82.96
28,2208.1429582619535,73.6
29,1729.8114930045128,57.66
30,1177.2674197625106,39.24
31,1342.9066288490496,44.76
32,944.516979790648,31.48
33,1682.4040815294554,56.08
34,1165.948885197266,38.86
35,2712.275239206687,90.41
36,2855.1427055421414,95.17
37,2819.7846746552827,93.99
38,2594.033422095452,86.47
39,2650.556997272799,88.35
40,2594.1954208104607,86.47
41,2508.046746425488,83.6
42,2788.5538501506057,92.95
43,1731.8482272727713,57.73
44,1815.0439376989489,60.5
45,2236.4186457463907,74.55
46,2479.311230150517,82.64
47,1922.6025643819712,64.09
48,896.1952143963641,29.87
49,507.6970960018507,16.92
50,542.5050808908783,18.08
51,635.3589004032588,21.18
52,997.3219303495428,33.24
53,459.68555454439536,15.32
54,422.5150060982013,14.08
55,441.84624417065675,14.73
56,412.38940319198633,13.75
57,216.1469085040239,7.2
58,190.01149126441592,6.33
59,234.3256932222204,7.81
60,85.46702241251025,2.85
61,156.31084424168282,5.21
62,3.424000061837292,0.11
63,0.0,0.0
64,9.301095235086391,0.31
65,14.462683676738518,0.48
66,47.66617779221947,1.59
67,12.834612113288477,0.43
68,6.8259414651295165,0.23
69,11.321926944479886,0.38
70,165.7644120850134,5.53
71,152.91726028509555,5.1
72,304.48187777780737,10.15
73,407.69653728329394,13.59
74,709.3430812953903,23.64
75,1653.079914725105,55.1
76,2999.262602750673,99.98
77,3017.800985462529,100.59
78,3030.684169987845,101.02
79,3061.7921067046445,102.06
80,3036.2627727661397,101.21
81,2953.7211304191756,98.46
82,3013.3704708053997,100.45
83,2980.3779284596444,99.35
84,3059.0627896943115,101.97
85,3054.2318312020043,101.81
86,3040.5580032029197,101.35
87,3038.2002232128957,101.27
