Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
0,6968.125851952079,92.91
1,5739.851790771982,76.53
2,6017.809047087877,80.24
3,6475.954386659759,86.35
4,7518.801489822052,100.25
5,7523.160864881684,100.31
6,7538.934427504898,100.52
7,7552.897885302822,100.71
8,7575.498481397724,101.01
9,7602.192099648413,101.36
10,7322.547088773265,97.63
11,7642.628003849485,101.9
12,4619.932541982768,61.6
13,4629.529377754712,61.73
14,4393.362867678184,58.58
15,5156.6739323942365,68.76
16,6193.450563673277,82.58
17,4372.302226295045,58.3
18,7321.954008175339,97.63
19,7555.348564368504,100.74
20,7163.697507035891,95.52
21,7214.026755123942,96.19
22,7196.381278368784,95.95
23,7209.675072883539,96.13
24,7003.619479935315,93.38
25,6215.1265548649735,82.87
26,6230.14328659316,83.07
27,6222.000656187031,82.96
28,5520.3573956548835,73.6
29,4324.528732511281,57.66
30,2943.1685494062763,39.24
31,3357.2665721226244,44.76
32,2361.29244947662,31.48
33,4206.010203823638,56.08
34,2914.8722129931652,38.86
35,6780.688098016716,90.41
36,7137.856763855354,95.17
37,7049.4616866382075,93.99
38,6485.083555238629,86.47
39,6626.392493181999,88.35
40,6485.488552026151,86.47
41,6270.116866063721,83.6
42,6971.384625376514,92.95
43,4329.620568181928,57.73
44,4537.609844247372,60.5
45,5591.046614365976,74.55
46,6198.278075376293,82.64
47,4806.506410954927,64.09
48,2240.4880359909107,29.87
49,1269.242740004627,16.92
50,1356.2627022271956,18.08
51,1588.397251008147,21.18
52,2493.3048258738563,33.24
53,1149.2138863609885,15.32
54,1056.2875152455033,14.08
55,1104.615610426642,14.73
56,1030.973507979966,13.75
57,540.3672712600597,7.2
58,475.02872816103985,6.33
59,585.8142330555509,7.81
60,213.6675560312756,2.85
61,390.77711060420705,5.21
62,8.560000154593231,0.11
63,0.0,0.0
64,23.252738087715983,0.31
65,36.156709191846296,0.48
66,119.16544448054866,1.59
67,32.086530283221194,0.43
68,17.06485366282379,0.23
69,28.304817361199717,0.38
70,414.41103021253343,5.53
71,382.29315071273885,5.1
72,761.2046944445185,10.15
73,1019.2413432082349,13.59
74,1773.3577032384758,23.64
75,4132.699786812762,55.1
76,7498.156506876683,99.98
77,7544.502463656323,100.59
78,7576.710424969613,101.02
79,7654.480266761612,102.06
80,7590.6569319153505,101.21
81,7384.302826047937,98.46
82,7533.426177013498,100.45
83,7450.944821149112,99.35
84,7647.656974235779,101.97
85,7635.579578005012,101.81
86,7601.395008007299,101.35
87,7595.5005580322395,101.27
88,7578.62125642495,101.05
89,7531.194557665062,100.42
90,7416.356604775112,98.88
91,6547.07482781055,87.29
92,6860.23892183906,91.47
93,6501.135107853982,86.68
94,7433.758740454644,99.12
95,7598.329848468381,101.31
96,7618.25054789884,101.58
97,7625.078220971821,101.67
98,7630.719287318959,101.74
99,7627.473112437603,101.7
100,7633.395617336935,101.78
101,7637.844040423112,101.84
102,7639.176718921102,101.86
103,7585.270236553463,101.14
104,7669.462404340374,102.26
105,7671.130649824923,102.28
106,7671.900590858766,102.29
107,7326.93862536849,97.69
108,5113.537068018846,68.18
109,2764.66377391708,36.86
110,1247.4755355926543,16.63
111,1828.615357831368,24.38
112,1859.560620254981,24.79
113,1657.8069751357837,22.1
114,1771.3686320740796,23.62
115,2515.5659064992424,33.54
116,5220.304641354105,69.6
117,4553.300248773359,60.71
118,1378.8864943840258,18.39
119,0.0,0.0
120,37.85975048215388,0.5
121,404.14758020970504,5.39
122,672.4777048241007,8.97
123,36.45396654399506,0.49
124,362.1024260744864,4.83
125,525.2596564415157,7.0
126,417.723072553826,5.57
127,391.65102947707067,5.22
128,1396.490953794158,18.62
129,2409.6853487793,32.13
130,5045.932649869388,67.28
131,3770.7770789453466,50.28
132,3196.140644044626,42.62
133,3585.4457176464507,47.81
134,2940.1481480454954,39.2
135,2490.647083198497,33.21
136,2196.4204955718487,29.29
137,2018.5257096600776,26.91
138,5765.7968526072855,76.88
139,3472.519689685875,46.3
140,2556.3439400061284,34.08
141,1629.4834423501186,21.73
142,2842.6768451510347,37.9
143,2783.597450720386,37.11
144,7186.666980891334,95.82
145,7329.203806509816,97.72
146,6414.707508006754,85.53
147,6549.792494026716,87.33
148,4628.349841481037,61.71
149,4226.810153301026,56.36
150,4684.833259268279,62.46
151,3767.226206983355,50.23
152,4080.556401580023,54.41
153,4945.0821268975515,65.93
154,4752.372495902721,63.36
155,5961.596167651086,79.49
156,5089.5907287800255,67.86
157,3139.8182967429175,41.86
158,575.116445339988,7.67
159,313.0941208931743,4.17
160,896.5749136274211,11.95
161,626.9047412681279,8.36
162,511.97190675024785,6.83
163,328.94395025388445,4.39
164,104.35634343150717,1.39
165,177.55199113505066,2.37
166,27.47341078254222,0.37
167,15.820383004787745,0.21
168,89.1997535067565,1.19
169,140.45067247406524,1.87
170,463.68779875018777,6.18
171,1993.4018345557977,26.58
172,2773.9572315242253,36.99
173,1016.4677909606119,13.55
174,437.58778745407733,5.83
175,1192.2029511850237,15.9
176,2558.550285489727,34.11
177,5972.335122553595,79.63
178,6917.25658009503,92.23
179,5611.046469043722,74.81
180,6066.663002177002,80.89
181,5501.574753983873,73.35
182,2800.608023752498,37.34
183,70.12288558478417,0.93
184,73.54454122360121,0.98
185,1355.0340594448428,18.07
186,1056.2185901004075,14.08
187,952.278251851593,12.7
188,1141.4300118304204,15.22
189,1673.3812915556557,22.31
190,1187.2456342732253,15.83
191,973.3925774950736,12.98
192,32.829305525474,0.44
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,4.093738593918857,0.05
198,26.639562050537354,0.36
199,109.78958795802156,1.46
200,211.26244813017007,2.82
201,434.24288715237327,5.79
202,895.844957127777,11.94
203,1255.3426458705524,16.74
204,1563.9907654621163,20.85
205,1905.4259439403395,25.41
206,1542.4580809237025,20.57
207,999.0494342717004,13.32
208,326.1301020467389,4.35
209,438.4335172314005,5.85
210,1210.98219883767,16.15
211,6636.949694912249,88.49
212,7353.196726538201,98.04
213,7395.925360275692,98.61
214,7429.251279021176,99.06
215,7436.436960290545,99.15
216,7488.46312424834,99.85
217,7525.601674794507,100.34
218,7541.051997260764,100.55
219,7552.028433538574,100.69
220,7570.137426452929,100.94
221,7586.288649693181,101.15
222,7603.988276232321,101.39
223,7625.319790010362,101.67
224,7646.786547423334,101.96
225,7662.499061035895,102.17
226,7639.8996012777025,101.87
227,7686.6985276483465,102.49
228,7467.840046478522,99.57
229,7706.799000791291,102.76
230,7558.020682726273,100.77
231,6146.755269695634,81.96
232,3588.529595701728,47.85
