Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Storage Capacity,0.0,kWh
Total water production,18250000.00000112,m3
Total fossil fuel usage,48016651.48825562,kWh
Percentage of fossil fuel consumption,69.58778483683562,%
Curtailed solar electric energy,1.7057161782286576,GWh
Percentage of curtailed energy,7.517275564199272,%

Hour,Water production (m3),Storage status (kWh),Fossil fuel usage (kWh)
0,2083.3333333333335,0,7380.958173029704
1,2083.333333333333,0,5214.955662445564
2,2083.333333333333,0,4449.618310255353
3,2083.333333333334,0,6335.810097737793
4,2083.3333333333335,0,7470.936248454502
5,2083.3333333333335,0,7848.8780233877
6,2083.3333333333335,0,7839.213720411836
7,2083.3333333333335,0,7876.889489254026
8,2083.3333333333335,0,7145.5978694443775
9,2083.3333333333335,0,6282.350738423668
10,2083.3333333333335,0,4561.515139686215
11,2083.3333333333335,0,4000.1644747768337
12,2083.3333333333335,0,3769.000690068836
13,2083.3333333333335,0,2996.9029624097902
14,2083.3333333333335,0,3418.0617921870344
15,2083.3333333333335,0,3165.7027768160324
16,2083.333333333333,0,6465.879186885031
17,2083.3333333333335,0,7727.967929060909
18,2083.3333333333335,0,7818.839606324273
19,2083.3333333333335,0,7871.168200467385
20,2083.3333333333335,0,7876.889489254026
21,2083.3333333333335,0,7876.889489254026
22,2083.3333333333335,0,7876.889489254026
23,2083.3333333333335,0,7848.515082799778
24,2083.3333333333335,0,7730.245404016028
25,2083.3333333333335,0,7823.856291589928
26,2083.3333333333335,0,7630.136962256565
27,2083.3333333333335,0,5280.9041290406085
28,2083.3333333333335,0,413.2592798415826
29,2083.3333333333335,0,7371.370416784587
30,2083.333333333334,0,7165.921767271204
31,2083.3333333333335,0,7499.42269738125
32,2083.333333333333,0,7162.374943851657
33,2083.3333333333335,0,6415.192400595906
34,2083.3333333333335,0,5953.559748248171
35,2083.3333333333335,0,5715.748396874034
36,2083.333333333334,0,5635.910830284753
37,2083.333333333334,0,5727.920485895009
38,2083.3333333333335,0,5952.156693073042
39,2083.3333333333335,0,3784.000212260772
40,2083.3333333333335,0,6560.64374828781
41,2083.3333333333335,0,7876.889489254026
42,2083.3333333333335,0,7876.889489254026
43,2083.3333333333335,0,7498.932356906931
44,2083.333333333333,0,6209.556825338332
45,2083.3333333333335,0,5539.215279400507
46,2083.333333333333,0,7165.597741578777
47,2083.3333333333335,0,7318.625943046785
48,2083.3333333333335,0,2405.684213828199
49,2083.3333333333335,0.0,0
50,2083.3333333333335,0.0,0
51,2083.3333333333335,0.0,0
52,2083.3333333333335,0.0,0
53,2083.3333333333335,0,3000.388083611205
54,2083.333333333334,0,4213.846994075977
55,2083.3333333333335,0,7167.95474141269
56,2083.3333333333335,0,6362.100705361126
57,2083.3333333333335,0,6409.270521065122
58,2083.333333333333,0,5960.832935261498
59,2083.3333333333335,0,1536.102218946834
60,2083.3333333333335,0,1812.7705458799073
61,2083.3333333333335,0,3562.31803504841
62,2083.3333333333335,0,4606.023659923031
63,2083.3333333333335,0,1605.730840657162
64,2083.3333333333335,0,7722.928234747697
65,2083.3333333333335,0,7876.889489254026
66,2083.3333333333335,0,7876.889489254026
67,2083.3333333333335,0,7516.482894199496
68,2083.3333333333335,0,3735.995374326718
69,2083.3333333333335,0.0,0
70,2083.3333333333335,0,2800.0351513876485
71,2083.3333333333335,0,678.5178488255442
72,2083.3333333333335,0,3710.7082922215304
73,2083.3333333333335,0,5526.924853621913
74,2083.3333333333335,0,7049.702170400338
75,2083.3333333333335,0,6449.353920173261
76,2083.333333333334,0,5141.9367634043665
77,2083.3333333333335,0,5426.093150769333
78,2083.3333333333335,0,6724.434806390087
79,2083.3333333333335,0,7876.889489254026
80,2083.3333333333335,0,7789.768358809112
81,2083.3333333333335,0,7096.3143131383995
82,2083.3333333333335,0,6439.295554429204
83,2083.3333333333335,0.0,0
84,2083.333333333333,0,5001.390344609294
85,2083.3333333333335,0.0,0
86,2083.3333333333335,0.0,0
87,2083.3333333333335,0.0,0
88,2083.3333333333335,0.0,0
89,2083.3333333333335,0,1187.0867819475543
90,2083.3333333333335,0,5473.641602548954
91,2083.3333333333335,0,6200.8981746840145
92,2083.3333333333335,0,6540.805040838284
93,2083.3333333333335,0,7283.126966535985
94,2083.3333333333335,0,7853.695883835958
95,2083.3333333333335,0,7876.889489254026
96,2083.3333333333335,0,7876.889489254026
97,2083.3333333333335,0,7876.889489254026
98,2083.3333333333335,0,7865.604087500093
99,2083.3333333333335,0,6980.081613153611
100,2083.3333333333335,0,3288.467067451892
101,2083.3333333333335,0,3845.1544437819143
102,2083.3333333333335,0,6685.640619838157
103,2083.3333333333335,0,5992.4895870475
104,2083.333333333333,0,5402.423654664959
105,2083.333333333334,0,4445.881840023285
106,2083.3333333333335,0,4701.060239260869
107,2083.333333333334,0,7152.5803747696555
108,2083.3333333333335,0,7052.567450558159
109,2083.3333333333335,0,7463.101604599421
110,2083.3333333333335,0,7781.00657197677
111,2083.3333333333335,0,3083.992276693607
112,2083.3333333333335,0,6429.577364688474
113,2083.3333333333335,0,7876.889489254026
114,2083.3333333333335,0,7876.889489254026
115,2083.3333333333335,0,7876.889489254026
116,2083.3333333333335,0,7876.889489254026
117,2083.3333333333335,0,7876.889489254026
118,2083.3333333333335,0,7876.889489254026
119,2083.3333333333335,0,7876.889489254026
120,2083.3333333333335,0,7876.889489254026
121,2083.3333333333335,0,7876.889489254026
122,2083.3333333333335,0,7836.830810351052
123,2083.3333333333335,0,3261.2276456881455
124,2083.3333333333335,0,3438.4287789309474
125,2083.3333333333335,0.0,0
126,2083.3333333333335,0,2405.4766481009456
127,2083.3333333333335,0.0,0
128,2083.3333333333335,0,2917.7854269087766
129,2083.3333333333335,0.0,0
130,2083.3333333333335,0.0,0
131,2083.3333333333335,0,878.8866419178485
132,2083.3333333333335,0,877.8208077264853
133,2083.3333333333335,0,1272.8919026331941
134,2083.3333333333335,0,3155.10677871589
135,2083.3333333333335,0.0,0
