Location,AZ
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Run lifetime simulation,0.0,0/1
Daily average solar irradiance,6.462446720448928,kWh/m2/day
Annual AC output,5265664.882273504,kWh
Annual energy,5265664.882273505,kWh
Capacity factor,20.036776568772854,%
Energy yield,1755.2216274245018,kWh/kW
Location ID,1755.2216274245018,
City,1755.2216274245018,
State,1755.2216274245018,
Latitude,33.45000076293945,deg
Longitude,-112.05999755859375,deg
Time zone,-7.0,hr
Site elevation,321.0,m
Inverter efficiency at rated power,96.0,%
Estimated number of rows in the system,100.0,
Time offset for interpreting time series outputs,0.5,hours
Estimated percent of total completed simulation,99.89726257324219,%
Capacity factor of the interconnection (year 1),0.0,%
Annual Energy AC pre-interconnection (year 1),0.0,kWh
Annual Energy AC (year 1),5265664.882273505,kWh
Annual Energy loss from interconnection limit (year 1),0.0,%
Annual Energy loss from interconnection limit (year 1),0.0,kWh
Capacity factor of the curtailment (year 1),0.0,%
Annual Energy AC pre-curtailment (year 1),5265664.882273505,kWh
Annual Energy loss from curtailment (year 1),0.0,%
Annual Energy loss from curtailment (year 1),0.0,kWh
Annual energy production as function of time,0.0,kW

Hour,System power generated (kW),Annual energy production as function of time (kW),Irradiance GHI from weather file (W/m2),Irradiance DNI from weather file (W/m2),Irradiance DHI from weather file (W/m2),Weather file ambient temperature (C),Weather file wind speed (m/s),Weather file snow depth (cm),Sun up over horizon (0/1),Shading factor for beam radiation (),Angle of incidence (deg),Plane of array irradiance (W/m2),Transmitted plane of array irradiance (W/m2),Module temperature (C),DC power loss due to snow (%),DC inverter input power (W),AC inverter output power (W),System power generated (kW),Annual energy production as function of time (kW),System power generated (kW),System power before grid interconnect (kW),System power before grid curtailment (kW)
0,0.0,0.0,0.0,0.0,0.0,4.0,2.5999999046325684,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,4.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,4.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,4.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,4.0,2.5,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,3.0,2.5,nan,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,3.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,4.0,2.9000000953674316,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,731.2916198096482,731.2916198096482,133.0,548.0,43.0,8.0,3.9000000953674316,nan,1.0,1.0,63.083121806130016,293.3992478893585,282.49294800983677,12.968375037114697,1.0,763953.4761523295,731291.6198096481,731.2916198096482,731.2916198096482,731.2916198096482,0.0,731.2916198096482
9,1473.3218417219737,1473.3218417219737,309.0,750.0,66.0,11.0,4.599999904632568,nan,1.0,1.0,49.938101936126735,574.9045585846422,574.151041708662,21.879305357475403,1.0,1530675.5798812986,1473321.8417219736,1473.3218417219737,1473.3218417219737,1473.3218417219737,0.0,1473.3218417219737
10,1926.7246248345682,1926.7246248345682,456.0,843.0,79.0,14.0,4.900000095367432,nan,1.0,1.0,37.72009895723307,776.294935165969,776.294935165969,28.92854836174024,1.0,2002912.196717451,1926724.6248345682,1926.7246248345682,1926.7246248345682,1926.7246248345682,0.0,1926.7246248345682
11,2175.402270726281,2175.402270726281,551.0,887.0,85.0,16.0,4.400000095367432,nan,1.0,1.0,27.812663840188478,902.3008249522542,902.3008249522542,34.84872447221994,1.0,2263149.9358156575,2175402.270726281,2175.402270726281,2175.402270726281,2175.402270726281,0.0,2175.402270726281
