Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
0,123.98282905608046,4.13
1,665.4834567021154,22.18
2,856.817794749668,28.56
3,385.2698478790584,12.84
4,101.48831019988106,3.38
5,7.002866466581505,0.23
6,9.418942210547463,0.31
7,0.0,0.0
8,0.0,0.0
9,30.304227277095993,1.01
10,347.16243118331073,11.57
11,425.3306859377277,14.18
12,464.8955695746563,15.5
13,684.6573420282978,22.82
14,643.9702799332708,21.47
15,819.5457631850635,27.32
16,165.740844972591,5.52
17,37.2303900482792,1.24
18,14.512470732438217,0.48
19,1.4303221966601873,0.05
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,7.093601613562,0.24
24,36.661021309499375,1.22
25,13.258299416024423,0.44
26,61.688131749364985,2.06
27,648.9963400533543,21.63
28,1865.9075523531108,62.2
29,126.37976811735956,4.21
30,177.74193049570556,5.92
31,94.36669796819392,3.15
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,6.546633219709362,0.22
39,655.5221845577324,21.85
40,133.01674776165416,4.43
41,0.0,0.0
42,0.0,0.0
43,94.48928308677371,3.15
44,416.8331659789234,13.89
45,584.4185524633797,19.48
46,177.82293691881216,5.93
47,139.56588655181002,4.65
48,1367.8013188564566,45.59
49,2760.9342187420684,92.03
50,2897.3739102005547,96.58
51,2867.2394454321575,95.57
52,2345.4203136813503,78.18
53,1219.1253514107052,40.64
54,915.7606237945123,30.53
55,177.2336869603338,5.91
56,198.89750407378511,6.63
57,0.0,0.0
58,0.0,0.0
59,1051.1519218735116,35.04
60,961.4790406207,32.05
61,666.4490084998481,22.21
62,496.92258752861085,16.56
63,1471.8608275357763,49.06
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,90.10164876363261,3.0
68,1035.223528731827,34.51
69,2380.0222208956134,79.33
70,1269.2135844665943,42.31
71,1799.5929101071204,59.99
72,1041.5452992581238,34.72
73,587.4911589080282,19.58
74,206.7968297134218,6.89
75,356.8838922701912,11.9
76,683.7381814624149,22.79
77,612.6990846211731,20.42
78,288.1136707159846,9.6
79,0.0,0.0
80,0.0,0.0
81,135.17765028151632,4.51
82,149.8148178484642,4.99
83,2015.4049196999981,67.18
84,642.7387699039216,21.42
85,2929.499187202279,97.65
86,2909.242683219708,96.97
87,2958.0195563990387,98.6
88,2785.9162191486716,92.86
89,1672.4506768266178,55.75
90,600.8119716762678,20.03
91,418.99782864250284,13.97
92,334.02111210393537,11.13
93,148.4406306795102,4.95
94,5.798401354517033,0.19
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,2.8213504384833485,0.09
99,224.20196902510366,7.47
100,1147.1056054505334,38.24
101,1007.9337613680278,33.6
102,297.8122173539671,9.93
103,471.0999755516313,15.7
104,460.32539891697365,15.34
105,516.4842141478257,17.22
106,650.0837568396313,21.67
107,85.46989144730725,2.85
108,118.15416533422247,3.94
109,5.308569333447854,0.18
110,2.565199250618404,0.09
111,1155.360447716022,38.51
112,345.6839896433531,11.52
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,10.01466972574351,0.33
123,1153.91546089147,38.46
124,1109.6151775807696,36.99
125,2618.9596802588453,87.3
126,1367.85321028827,45.6
127,2403.7400909370353,80.12
128,1059.5628229273452,35.32
129,1727.8707929687928,57.6
130,1715.2553988934833,57.18
131,1394.7209209522841,46.49
132,1294.518435248013,43.15
133,1517.0283488920597,50.57
134,1116.6836916250743,37.22
135,1874.0533060268685,62.47
136,820.3946821446908,27.35
137,127.65936014143014,4.26
138,670.3099942280759,22.34
139,1125.3198107226929,37.51
140,990.8180151048226,33.03
141,73.82854085367316,2.46
142,14.898842450681721,0.5
143,240.1229618803929,8.0
144,694.2550551120463,23.14
145,345.4379641150931,11.51
146,913.5406396133026,30.45
147,387.59840732766236,12.92
148,78.81023934775423,2.63
149,338.13169637107086,11.27
150,540.3366901576106,18.01
151,357.52540619843785,11.92
152,670.7623113428411,22.36
153,149.76288024977205,4.99
154,8.354997129776107,0.28
155,36.68356207863926,1.22
156,113.4545344361909,3.78
157,15.808038279083545,0.53
158,29.78626456054085,0.99
159,6.341960010212594,0.21
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,12.899476243145564,0.43
166,161.60902690284428,5.39
167,417.5506695897084,13.92
168,218.30024110372017,7.28
169,478.56762093008246,15.95
170,853.794992627361,28.46
171,595.8691046407716,19.86
172,14.956667394728694,0.5
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,13.173079877613047,0.44
179,17.100731416618444,0.57
180,8.99077130087142,0.3
181,223.77274928071589,7.46
182,326.4691338515203,10.88
183,15.136368231603827,0.5
184,8.416526474462032,0.28
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,1.5499524453653633,0.05
190,6.959500987963441,0.23
191,9.117692321149436,0.3
192,8.96437908261825,0.3
193,14.355421473412022,0.48
194,3.089761815155281,0.1
195,6.344579798498841,0.21
196,0.0,0.0
197,12.11603492564126,0.4
198,140.6042843622962,4.69
199,1273.2552971332755,42.44
200,793.9829958970057,26.47
201,939.7528473172405,31.33
202,1607.3261798463573,53.58
203,2620.421219383215,87.35
204,962.1187638600292,32.07
205,1013.5097231453884,33.78
206,2895.918499040025,96.53
207,2033.3324473783264,67.78
208,1492.4575456792654,49.75
209,73.61986229415328,2.45
210,157.26230014185947,5.24
211,284.52621859646547,9.48
212,373.63363302045093,12.45
213,6.875783842114192,0.23
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,191.90345005295492,6.4
219,599.6523080654601,19.99
220,758.1624149777352,25.27
221,1015.3205912087617,33.84
222,2001.3060391331016,66.71
223,1690.3990031852607,56.35
224,1155.3108127094554,38.51
225,2263.1809873007583,75.44
226,1843.837128562746,61.46
227,1580.7426142996908,52.69
228,1827.6548281657172,60.92
229,1229.9875514858663,41.0
230,1646.6006945402034,54.89
231,377.6472314780524,12.59
232,567.5028393694589,18.92
233,252.87451278963812,8.43
234,150.26861485095304,5.01
235,4.613978769012016,0.15
236,0.0,0.0
237,0.0,0.0
238,36.90818966115831,1.23
239,11.801870184086832,0.39
240,57.24168083299388,1.91
241,53.42021094164145,1.78
242,897.5229408836112,29.92
243,1324.2822873085072,44.14
244,1897.9971200090417,63.27
245,239.97814646348647,8.0
246,1214.510560335378,40.48
247,1356.0492178577954,45.2
248,992.6631655486974,33.09
249,1024.4767027094508,34.15
250,1350.4560368597301,45.02
251,1407.0538048736034,46.9
252,334.2814828446123,11.14
253,1872.6925880706065,62.42
254,1088.4953857916425,36.28
255,1119.8868457368683,37.33
256,933.3762629804927,31.11
257,10.913010003903063,0.36
258,34.34790575436448,1.14
259,132.42377594529125,4.41
260,341.7791188219942,11.39
261,333.8379273843227,11.13
262,545.0978325150754,18.17
263,958.4004394369392,31.95
264,896.3175883997438,29.88
265,712.4164525095513,23.75
266,353.89676899114664,11.8
267,284.70489121647006,9.49
268,143.84213094232965,4.79
269,13.862170212691098,0.46
270,8.79441251969586,0.29
271,143.51397179348479,4.78
272,15.773951346379846,0.53
273,9.547503342665864,0.32
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,5.025201105139516,0.17
279,34.96193062366757,1.17
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,6.09149416229767,0.2
284,75.11229772562065,2.5
285,381.34859760192603,12.71
286,693.6909107617446,23.12
287,632.2774659998082,21.08
288,764.4873378232421,25.48
289,323.12240976174877,10.77
290,399.6394542676432,13.32
291,346.88955350021564,11.56
292,31.594137917237358,1.05
293,6.271164346578998,0.21
294,0.6443071672381981,0.02
295,10.000407276337272,0.33
296,5.177356583932918,0.17
297,0.0,0.0
298,0.0,0.0
299,0.0,0.0
300,4.735518635671486,0.16
301,16.006892956385748,0.53
302,104.30119303444651,3.48
303,14.719333642674245,0.49
304,0.0,0.0
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,10.095827831445641,0.34
309,24.438812798176876,0.81
310,107.42231359601857,3.58
311,111.62086142341346,3.72
312,83.53943177547207,2.78
313,14.84604461938439,0.49
314,6.540178076899137,0.22
315,122.83404735267432,4.09
316,150.54845588909785,5.02
317,154.8898631547321,5.16
318,108.79158495622353,3.63
319,54.75581667648506,1.83
320,15.90878889475378,0.53
321,79.45377445033404,2.65
322,35.00162251820497,1.17
323,885.9987609344319,29.53
324,858.858757873746,28.63
325,220.3046853910813,7.34
326,181.0769935317083,6.04
327,9.863840812439221,0.33
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,4.989478071557467,0.17
335,84.13104381797196,2.8
336,282.80365343859194,9.43
337,48.827818644782,1.63
338,0.0,0.0
339,887.8659262252927,29.6
340,1892.4115717784764,63.08
341,283.2989916898171,9.44
342,424.55357631207386,14.15
343,624.6964891709396,20.82
344,279.25172744329444,9.31
345,14.540215529954287,0.48
346,5.884244221033258,0.2
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.1615990708499421,0.01
358,0.0,0.0
359,0.0,0.0
360,15.171364091068885,0.51
361,1.126975945717243,0.04
362,0.0,0.0
363,1494.7963089320242,49.83
364,1355.106893335548,45.17
365,759.4617944536234,25.32
366,215.74701138760946,7.19
367,868.7906359692785,28.96
368,407.2586560002957,13.58
369,65.89899302445242,2.2
370,556.2538140162213,18.54
371,997.7702474122224,33.26
372,2665.8706429623253,88.86
373,1480.252384801658,49.34
374,164.52974576069153,5.48
375,221.24992643063283,7.37
376,0.0,0.0
377,0.0,0.0
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,9.417656144833511,0.31
385,102.98110016907415,3.43
386,633.9193812811957,21.13
387,2918.5825510395825,97.29
388,2817.342232973176,93.91
389,2767.0505270810463,92.24
390,2892.9700329733632,96.43
391,2681.6119945500636,89.39
392,2487.8633708905068,82.93
393,2741.4098523044167,91.38
394,2539.21004651093,84.64
395,2444.881175373325,81.5
396,2925.9231076912174,97.53
397,2870.5014839288556,95.68
398,2722.5730767913797,90.75
399,2305.5483183664182,76.85
400,1386.1838366708478,46.21
401,758.5159882592001,25.28
402,2882.8729989386397,96.1
403,1935.6815399597335,64.52
404,1077.0957773554521,35.9
