Location,  AZ
Desal technology,Reverse Osmosis (RO) - Grid Integrated   
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Storage Capacity,0.0,kWh
Total water production,18250000.00000112,m3
Total fossil fuel usage,45566341.44473779,kWh
Percentage of fossil fuel consumption,66.03669073079283,%
Curtailed solar electric energy,0.6190529604225643,GWh
Percentage of curtailed energy,2.573568556471427,%

Hour,Water production (m3),Storage status (kWh),Fossil fuel usage (kWh)
0,2083.3333333333335,0,7566.932416613825
1,2083.3333333333335,0,6213.180847498737
2,2083.3333333333335,0,5734.845002379856
3,2083.333333333333,0,6913.714869556379
4,2083.3333333333335,0,7623.168713754323
5,2083.3333333333335,0,7859.382323087572
6,2083.3333333333335,0,7853.342133727657
7,2083.3333333333335,0,7876.889489254026
8,2083.3333333333335,0,6048.691649069234
9,2083.3333333333335,0,4117.892994093689
10,2083.3333333333335,0,2192.2911103737524
11,2083.3333333333335,0,1375.1936355222324
12,2083.3333333333335,0,1094.0255158658756
13,2083.3333333333335,0,811.9863575317959
14,2083.3333333333335,0,1559.711316723451
15,2083.3333333333335,0,2245.5803184550086
16,2083.333333333334,0,5592.450772312253
17,2083.3333333333335,0,7783.813514133328
18,2083.3333333333335,0,7840.60831242293
19,2083.3333333333335,0,7873.313683762375
20,2083.3333333333335,0,7876.889489254026
21,2083.3333333333335,0,7876.889489254026
22,2083.3333333333335,0,7876.889489254026
23,2083.3333333333335,0,7859.155485220121
24,2083.3333333333335,0,7785.236935980277
25,2083.3333333333335,0,7843.743740713964
26,2083.3333333333335,0,7722.669159880613
27,2083.3333333333335,0,6254.39863912064
28,2083.3333333333335,0,3212.1206083712495
29,2083.3333333333335,0,7560.940068960626
30,2083.3333333333335,0,7432.5346630147615
31,2083.3333333333335,0,7640.9727443335405
32,2083.333333333334,0,6090.633944569432
33,2083.333333333334,0,4222.715190338062
34,2083.3333333333335,0,3068.6839177092343
35,2083.3333333333335,0,2474.1728864677725
36,2083.3333333333335,0,2274.5841770399875
37,2083.3333333333335,0,2504.6012408553324
38,2083.3333333333335,0,3114.272386664472
39,2083.3333333333335,0,2561.1672823945837
40,2083.333333333333,0,5583.93290552464
41,2083.3333333333335,0,7876.889489254026
42,2083.3333333333335,0,7876.889489254026
43,2083.3333333333335,0,7640.666281537091
44,2083.3333333333335,0,6834.806574306717
45,2083.333333333333,0,6415.843108095576
46,2083.3333333333335,0,7432.3321469569955
47,2083.3333333333335,0,7527.974772874501
48,2083.3333333333335,0,4457.386192112884
49,2083.3333333333335,0,974.5539423988548
