Location,AZ
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Run lifetime simulation,0.0,0/1
Daily average solar irradiance,6.46216446080415,kWh/m2/day
Annual AC output,13163668.60807227,kWh
Annual energy,13163668.608072331,kWh
Capacity factor,20.036025278648907,%
Energy yield,1755.155814409644,kWh/kW
Location ID,1755.155814409644,
City,1755.155814409644,
State,1755.155814409644,
Latitude,33.45000076293945,deg
Longitude,-112.05999755859375,deg
Time zone,-7.0,hr
Site elevation,321.0,m
Inverter efficiency at rated power,96.0,%
Estimated number of rows in the system,159.0,
Time offset for interpreting time series outputs,0.5,hours
Estimated percent of total completed simulation,99.89726257324219,%
Capacity factor of the interconnection (year 1),0.0,%
Annual Energy AC pre-interconnection (year 1),0.0,kWh
Annual Energy AC (year 1),13163668.608072331,kWh
Annual Energy loss from interconnection limit (year 1),0.0,%
Annual Energy loss from interconnection limit (year 1),0.0,kWh
Capacity factor of the curtailment (year 1),0.0,%
Annual Energy AC pre-curtailment (year 1),13163668.608072331,kWh
Annual Energy loss from curtailment (year 1),0.0,%
Annual Energy loss from curtailment (year 1),0.0,kWh
Annual energy production as function of time,0.0,kW

Hour,System power generated (kW),Annual energy production as function of time (kW),Irradiance GHI from weather file (W/m2),Irradiance DNI from weather file (W/m2),Irradiance DHI from weather file (W/m2),Weather file ambient temperature (C),Weather file wind speed (m/s),Weather file snow depth (cm),Sun up over horizon (0/1),Shading factor for beam radiation (),Angle of incidence (deg),Plane of array irradiance (W/m2),Transmitted plane of array irradiance (W/m2),Module temperature (C),DC power loss due to snow (%),DC inverter input power (W),AC inverter output power (W),System power generated (kW),Annual energy production as function of time (kW),System power generated (kW),System power before grid interconnect (kW),System power before grid curtailment (kW)
0,0.0,0.0,0.0,0.0,0.0,4.0,2.5999999046325684,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,4.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,4.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,4.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,4.0,2.5,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,3.0,2.5,nan,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,3.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,4.0,2.9000000953674316,nan,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1828.1978401847916,1828.1978401847916,133.0,548.0,43.0,8.0,3.9000000953674316,nan,1.0,1.0,63.083121806130016,293.39312617238966,282.48806334527205,12.968236976914909,1.0,1909851.6000633906,1828197.8401847915,1828.1978401847916,1828.1978401847916,1828.1978401847916,0.0,1828.1978401847916
9,3683.235926967597,3683.235926967597,309.0,750.0,66.0,11.0,4.599999904632568,nan,1.0,1.0,49.938101936126735,574.8903573375385,574.1397101935239,21.879004485749476,1.0,3826617.636960023,3683235.926967597,3683.235926967597,3683.235926967597,3683.235926967597,0.0,3683.235926967597
10,4816.692300921996,4816.692300921996,456.0,843.0,79.0,14.0,4.900000095367432,nan,1.0,1.0,37.72009895723307,776.2743778127148,776.2743778127148,28.928122568637036,1.0,5007155.896935291,4816692.300921996,4816.692300921996,4816.692300921996,4816.692300921996,0.0,4816.692300921996
11,5438.369138887474,5438.369138887474,551.0,887.0,85.0,16.0,4.400000095367432,nan,1.0,1.0,27.812663840188478,902.276111464872,902.276111464872,34.848179516317884,1.0,5657731.712980807,5438369.138887474,5438.369138887474,5438.369138887474,5438.369138887474,0.0,5438.369138887474
12,5620.625049451509,5620.625049451509,585.0,899.0,88.0,17.0,3.799999952316284,nan,1.0,1.0,23.424015193021216,946.6189099162646,946.6189099162646,38.12768473158758,1.0,5848877.2372226305,5620625.049451509,5620.625049451509,5620.625049451509,5620.625049451509,0.0,5620.625049451509
