Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
0,309.9570726402011,4.13
1,1663.7086417552885,22.18
2,2142.0444868741697,28.56
3,963.174619697646,12.84
4,253.72077549970265,3.38
5,17.507166166453764,0.23
6,23.54735552636866,0.31
7,0.0,0.0
8,0.0,0.0
9,75.76056819273998,1.01
10,867.9060779582768,11.57
11,1063.3267148443197,14.18
12,1162.2389239366407,15.5
13,1711.6433550707443,22.82
14,1609.9256998331773,21.47
15,2048.864407962659,27.32
16,414.3521124314774,5.52
17,93.07597512069799,1.24
18,36.28117683109554,0.48
19,3.5758054916504682,0.05
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,17.734004033905,0.24
24,91.65255327374842,1.22
25,33.14574854006106,0.44
26,154.22032937341245,2.06
27,1622.4908501333857,21.63
28,4664.768880882776,62.2
29,315.94942029339893,4.21
30,444.35482623926396,5.92
31,235.91674492048477,3.15
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,16.366583049273405,0.22
39,1638.8054613943311,21.85
40,332.5418694041354,4.43
41,0.0,0.0
42,0.0,0.0
43,236.22320771693427,3.15
44,1042.0829149473084,13.89
45,1461.046381158449,19.48
46,444.55734229703035,5.93
47,348.9147163795251,4.65
48,3419.503297141142,45.59
49,6902.335546855171,92.03
50,7243.434775501388,96.58
51,7168.098613580393,95.57
52,5863.550784203377,78.18
53,3047.813378526763,40.64
54,2289.401559486281,30.53
55,443.0842174008346,5.91
56,497.24376018446276,6.63
57,0.0,0.0
58,0.0,0.0
59,2627.8798046837787,35.04
60,2403.69760155175,32.05
61,1666.1225212496201,22.21
62,1242.3064688215272,16.56
63,3679.6520688394407,49.06
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,225.2541219090815,3.0
68,2588.0588218295675,34.51
69,5950.055552239033,79.33
70,3173.0339611664863,42.31
71,4498.982275267802,59.99
72,2603.8632481453096,34.72
73,1468.7278972700703,19.58
74,516.9920742835545,6.89
75,892.2097306754781,11.9
76,1709.345453656037,22.79
77,1531.747711552933,20.42
78,720.2841767899614,9.6
79,0.0,0.0
80,0.0,0.0
81,337.9441257037908,4.51
82,374.5370446211605,4.99
83,5038.5122992499955,67.18
84,1606.8469247598039,21.42
85,7323.747968005697,97.65
86,7273.106708049271,96.97
87,7395.048890997596,98.6
88,6964.790547871678,92.86
89,4181.126692066545,55.75
90,1502.0299291906697,20.03
91,1047.494571606257,13.97
92,835.0527802598384,11.13
93,371.10157669877555,4.95
94,14.496003386292582,0.19
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,7.053376096208372,0.09
99,560.504922562759,7.47
100,2867.7640136263335,38.24
101,2519.83440342007,33.6
102,744.5305433849178,9.93
103,1177.7499388790784,15.7
104,1150.813497292434,15.34
105,1291.2105353695642,17.22
106,1625.2093920990783,21.67
107,213.67472861826812,2.85
108,295.38541333555617,3.94
109,13.271423333619634,0.18
110,6.412998126546011,0.09
111,2888.4011192900552,38.51
112,864.2099741083827,11.52
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,25.036674314358773,0.33
123,2884.788652228676,38.46
124,2774.0379439519234,36.99
125,6547.3992006471135,87.3
126,3419.633025720674,45.6
127,6009.350227342588,80.12
128,2648.9070573183626,35.32
129,4319.676982421982,57.6
130,4288.138497233708,57.18
131,3486.8023023807104,46.49
132,3236.296088120033,43.15
133,3792.5708722301497,50.57
134,2791.7092290626856,37.22
135,4685.133265067171,62.47
136,2050.9867053617268,27.35
137,319.14840035357537,4.26
138,1675.7749855701895,22.34
139,2813.299526806732,37.51
140,2477.045037762057,33.03
141,184.5713521341829,2.46
142,37.247106126704296,0.5
143,600.3074047009821,8.0
144,1735.637637780116,23.14
145,863.5949102877327,11.51
146,2283.851599033256,30.45
147,968.996018319156,12.92
148,197.0255983693856,2.63
149,845.3292409276771,11.27
150,1350.8417253940268,18.01
151,893.8135154960947,11.92
152,1676.9057783571027,22.36
153,374.4072006244301,4.99
154,20.88749282444027,0.28
155,91.70890519659814,1.22
156,283.63633609047724,3.78
157,39.52009569770887,0.53
158,74.46566140135214,0.99
159,15.854900025531483,0.21
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,32.248690607863914,0.43
166,404.02256725711067,5.39
167,1043.876673974271,13.92
168,545.7506027593004,7.28
169,1196.4190523252062,15.95
170,2134.487481568403,28.46
171,1489.672761601929,19.86
172,37.391668486821736,0.5
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,32.93269969403262,0.44
179,42.75182854154611,0.57
180,22.47692825217855,0.3
